_id,episodeTitle,eventsNum,rssLifeExpectancy,fetchStatus,rssRegDate,day
574ee7da5adbab41b2929a2a,New Jersey doc: Baby born to mom with Zika looks 'affected',73,2032,6,2016-06-01T16:49:11.051,6
570fcd885adbabfce439b463,,,,6,,6
574ef6985adbab68e2c67c41,Official: EU finds Poland amiss on rule of law,33,475,6,2016-06-01T17:52:04.946,6
574ef6985adbab68e2c67c43,Donald Trump Traveling to Scotland for Golf Course Opening,0,0,6,2016-06-01T17:52:08.271,6
574f01a95adbab71b1902656,The Latest: Venus Williams loses to Bacsinszky in 4th round,0,0,6,2016-06-01T18:39:17.627,6
574f01a95adbab71b1902657,"Fiat Chrysler US sales up 1 pct., growth may be slowing",0,0,6,2016-06-01T18:39:21.863,6
574f03e75adbab71b1902801,"FDA issues new guidelines on salt, pressuring food industry",0,0,6,2016-06-01T18:48:53.908,6
574f0ab35adbab71b190299f,"2,000-year-old handwritten documents found in London mud",39,1502,6,2016-06-01T19:17:49.279,6
574f13ae5adbab71b1902d79,Clinton camp slams Trump University as ‚??fraudulent scheme‚??,0,0,6,2016-06-01T19:56:10.396,6
574f13ae5adbab71b1902d7c,Ford recalling 1.9 million vehicles to replace air bags,0,0,6,2016-06-01T19:56:14.676,6
574f23435adbab71b190312d,The Latest: First aid convoy since 2012 reaches Syria suburb,0,0,6,2016-06-01T21:02:41.577,6
574f2e705adbab71b19034d8,Police investigate report of possible shooter at UCLA campus,0,0,6,2016-06-01T21:50:17.880,6
574f2e705adbab71b19034da,No civil rights charges in shooting of Minneapolis black man,0,0,6,2016-06-01T21:50:22.145,6
574f2e705adbab71b19034db,Googling yourself now leads to personal privacy controls,0,0,6,2016-06-01T21:50:23.451,6
574f2e705adbab71b19034dc,US designates North Korea 'primary money laundering concern',0,0,6,2016-06-01T21:50:24.972,6
574f35155adbab71b19034f6,"Hotel attack in Somali capital kills at least 2, police say",137,1852,6,2016-06-01T22:18:37.936,6
574f3bc25adbab71b19035ae,Ousted Baylor president Starr resigns from chancellor role,30,665,6,2016-06-01T22:47:04.956,6
574f42535adbab71b1903aaa,"US stocks trade mixed after weak reports on autos, China",0,0,6,2016-06-01T23:15:15.881,6
574f4fe65adbab7eb555cf7e,Former Florida cop indicted in shooting of armed black man,0,0,6,2016-06-02T00:13:10.096,6
